numero,titulo,vigor_inicial,origem
ICA 12-35,Sistemática de Remuneração dos Serviços de Navegação Aérea Prestados pela NAV Brasil,30/09/2025,ATAN
ICA 66-23,Licenças e Certificados de Habilitação para Pessoal Técnico do Sistema de Controle do Espaço Aéreo,04/09/2025,SDTE/SNOT
ICA 63-46,Órgãos Provedores de Serviço de Navegação Aérea - PSNA,01/07/2025,SDOP
ICA 121-3,Procedimentos Administrativos de Inspeção em Voo,30/06/2025,SDOP
ICA 100-36,Processo de solicitação para o Uso Especial do Espaço Aéreo,04/06/2025,SDOP
ICA 53-4,Solicitação de Divulgação de Informação Aeronáutica,03/06/2025,SDOP
ICA 121-7,Instruções para Visita Técnica às Organizações Subordinadas ao DECEA,14/04/2025,ASGOV
ICA 17-1,Gerenciamento de Programas e Projetos no DECEA e Organizações Militares Subordinadas,22/05/2025,ASGOV
ICA 100-47,Habilitação Técnica para Instrutor de Instituição de Formação de Controlador de Tráfego Aéreo,05/05/2025,SDOP
ICA 96-1,Aprova a Instrução que dispõe sobre cartas aeronáuticas.,30/04/2025,SDOP
ICA 63-51,Sistema de Gerenciamento de Teste Operacional (SGTO),13/03/2025,DPLN4
ICA 800-5,Procedimentos para Auditoria Interna no SGQ Multisite do DECEA,17/02/2025,DAIN4
ICA 53-10,ASHTAM E SNOWTAM,06/01/2025,SDOP
ICA 64-7,Busca e Salvamento,06/12/2024,D-SAR
ICA 100-23,Habilitação Técnica de Elaborador de Procedimentos de Navegação Aérea,27/12/2024,SDOP
ICA 100-24,Elaboração de Procedimentos de Navegação Aérea,27/12/2024,SDOP
ICA 100-37,Serviços de Tráfego Aéreo,28/11/2024,SDOP
ICA 100-31,Requisitos dos Serviços de Tráfego Aéreo,28/11/2024,SDOP
ICA 100-12,Regras do Ar,28/11/2024,SDOP
ICA 102-16,Serviços de Telecomunicações do Comando da Aeronáutica,21/10/2024,SDOP
ICA 105-2,Classificação dos Órgãos Operacionais de Meteorologia Aeronáutica,21/10/2024,SDOP
ICA 63-45,Doutrina Operacional no SISCEAB,11/10/2024,SDOP
ICA 102-5,Endereçamento de Aeronaves,23/09/2024,SDOP
ICA 102-3,Rede de Telecomunicações de Comando do Comando da Aeronáutica,02/06/2023,GABAER
ICA 50-1,Habilitação e Manutenção Operacional de Operadores de Órgão de Controle de Operações Aéreas Militares,01/01/2024,SDOP
ICA 63-31,Licenças de Pessoal da Navegação Aérea,06/05/2024,DLTO
ICA 121-7,Instruções para Inspeção Técnica às Organizações Subordinadas ao DECEA,03/06/2024,DGCEA
ICA 7-26,Processo de Gestão de Riscos de Segurança e Tecnologia da Informação do Departamento de Controle do Espaço Aéreo,03/06/2024,SDTE
